国家,年份,预期寿命,成人死亡率,婴儿死亡数,酒精消费,五岁以下死亡数,乙肝疫苗接种率,麻疹病例数,BMI指数,脊髓灰质炎疫苗接种率,白喉疫苗接种率,HIV/AIDS死亡率,GDP人均,人口数量(百万),10-19岁消瘦率,5-9岁消瘦率,受教育年限,发达国家,发展中国家
Afghanistan,2001,56.3,304.858,87.9,0.02,125.2,63,13,21.8,35,33,0.02,163,21.61,2.1,2.4,2.2,0,1
Afghanistan,2000,55.8,310.8305,90.5,0.02,129.2,62,12,21.7,24,24,0.02,148,20.78,2.3,2.5,2.2,0,1
Albania,2015,78.0,75.205,8.5,4.33,9.6,99,98,26.6,99,99,0.03,3953,2.88,1.2,1.3,9.7,0,1
Albania,2014,77.8,76.724,8.8,4.1,9.9,98,98,26.5,98,98,0.03,3856,2.89,1.2,1.3,9.7,0,1
Albania,2013,77.6,78.243,9.3,4.28,10.4,99,99,26.4,99,99,0.03,3781,2.9,1.3,1.4,9.7,0,1
Albania,2012,77.3,79.762,10.0,4.43,11.2,99,99,26.3,99,99,0.03,3736,2.9,1.3,1.4,9.6,0,1
Albania,2011,76.9,80.349,10.8,5.03,12.1,99,99,26.2,99,99,0.03,3678,2.91,1.4,1.5,9.3,0,1
Albania,2010,76.6,80.9365,11.8,4.88,13.3,99,98,26.1,99,99,0.03,3577,2.91,1.4,1.5,9.3,0,1
Albania,2009,76.2,81.5235,12.9,5.79,14.5,98,98,26.0,98,98,0.03,3432,2.93,1.5,1.6,9.3,0,1
Albania,2008,75.9,82.1105,14.1,5.56,15.8,99,98,25.9,99,99,0.03,3298,2.95,1.6,1.6,9.2,0,1
Albania,2007,75.6,82.6975,15.3,5.46,17.1,98,95,25.8,99,98,0.03,3045,2.97,1.6,1.7,9.2,0,1
Albania,2006,75.4,83.5945,16.6,5.17,18.5,98,94,25.7,97,97,0.03,2851,2.99,1.7,1.8,9.2,0,1
Albania,2005,75.2,84.4915,17.8,4.98,20.0,98,97,25.6,97,98,0.03,2676,3.01,1.8,1.8,9.1,0,1
Albania,2004,75.0,85.3885,19.1,4.42,21.5,99,96,25.5,98,97,0.02,2522,3.03,1.8,1.9,9.1,0,1
Albania,2003,74.8,86.2855,20.4,4.33,23.0,97,93,25.4,97,97,0.02,2381,3.04,1.9,2.0,9.0,0,1
Albania,2002,74.6,87.182,21.7,3.96,24.4,96,93,25.3,98,98,0.02,2247,3.05,2.0,2.1,9.0,0,1
Albania,2001,74.3,90.939,22.9,4.51,25.8,96,90,25.2,97,97,0.01,2144,3.06,2.1,2.1,8.7,0,1
Albania,2000,74.0,94.6955,24.1,3.92,27.2,96,90,25.2,97,97,0.01,1961,3.09,2.1,2.2,8.8,0,1
Algeria,2015,76.1,95.8155,21.6,0.55,25.2,95,99,25.5,95,95,0.05,4178,39.73,6.0,5.8,7.9,0,1
Algeria,2014,75.9,97.277,21.9,0.54,25.5,95,99,25.4,95,95,0.04,4112,38.92,6.0,5.8,7.9,0,1
Algeria,2013,75.7,98.739,22.1,0.5,25.8,95,93,25.3,95,95,0.03,4043,38.14,5.9,5.8,7.8,0,1
Algeria,2012,75.4,100.2005,22.5,0.43,26.2,95,95,25.2,95,95,0.03,4012,37.38,5.9,5.8,7.6,0,1
Algeria,2011,75.2,102.167,22.9,0.4,26.7,95,96,25.1,95,95,0.02,3957,36.66,5.9,5.8,7.4,0,1
Algeria,2010,74.9,104.1335,23.6,0.35,27.4,95,95,25.1,95,95,0.02,3918,35.98,5.9,5.8,7.1,0,1
Algeria,2009,74.6,106.1,24.4,0.43,28.4,94,98,25.0,94,95,0.02,3851,35.33,6.0,5.9,6.9,0,1
Algeria,2008,74.3,108.0665,25.3,0.37,29.5,91,96,24.9,92,93,0.02,3856,34.73,6.0,5.9,6.7,0,1
Algeria,2007,73.9,110.033,26.4,0.34,30.7,90,95,24.8,95,95,0.02,3828,34.17,6.0,5.9,7.2,0,1
Algeria,2006,73.5,114.4095,27.6,0.38,32.1,80,98,24.7,95,95,0.02,3760,33.64,6.1,6.0,7.0,0,1
Algeria,2005,73.1,118.7855,28.8,0.5,33.6,83,94,24.7,88,88,0.02,3752,33.15,6.1,6.0,6.9,0,1
Algeria,2004,72.6,123.162,30.1,0.45,35.1,81,94,24.6,86,86,0.02,3593,32.69,6.2,6.1,6.7,0,1
Algeria,2003,72.1,127.5385,31.3,0.33,36.5,81,96,24.5,87,87,0.01,3490,32.26,6.3,6.1,6.5,0,1
Algeria,2002,71.6,131.915,32.4,0.36,37.8,81,93,24.4,86,86,0.01,3298,31.86,6.3,6.2,6.3,0,1
Algeria,2001,71.1,136.2,33.3,0.23,38.9,81,73,24.4,89,89,0.01,3163,31.45,6.4,6.3,6.1,0,1
Algeria,2000,70.6,140.486,33.9,0.25,39.7,81,78,24.3,86,86,0.01,3111,31.04,6.5,6.4,5.9,0,1
Angola,2015,59.4,242.9655,57.7,6.53,88.1,64,64,23.2,62,64,0.89,3128,27.88,8.3,8.2,5.0,0,1
Angola,2014,58.8,246.0945,60.5,8.1,92.9,64,64,23.2,55,64,0.97,3207,26.94,8.5,8.3,4.9,0,1
Angola,2013,58.1,249.2235,63.7,7.67,98.5,77,64,23.1,48,77,1.12,3169,26.02,8.6,8.5,4.9,0,1
Angola,2012,57.2,252.352,67.4,7.83,105.1,75,64,23.0,54,75,1.21,3128,25.11,8.8,8.6,4.8,0,1
Angola,2011,56.3,261.2865,71.5,7.66,112.5,72,64,22.9,50,71,1.25,2988,24.22,8.9,8.8,4.7,0,1
Angola,2010,55.4,270.221,75.9,7.58,120.4,77,64,22.8,56,77,1.33,2994,23.36,9.1,9.0,4.7,0,1
Angola,2009,54.3,279.156,80.6,6.12,128.7,61,64,22.7,36,60,1.39,2962,22.51,9.3,9.2,4.7,0,1
Angola,2008,53.2,288.09,85.5,5.19,137.7,69,64,22.6,36,69,1.41,3048,21.7,9.5,9.4,4.6,0,1
Angola,2007,52.2,297.0245,90.6,4.68,147.0,73,64,22.5,43,73,1.45,2845,20.91,9.6,9.6,4.5,0,1
Angola,2006,51.1,307.785,95.7,4.02,156.4,67,64,22.4,8,34,1.48,2589,20.15,9.8,9.7,4.5,0,1
Angola,2005,50.2,318.546,100.9,3.49,166.1,67,64,22.3,14,38,1.49,2407,19.43,1.0,9.9,4.4,0,1
Angola,2004,49.3,329.306,105.7,2.41,175.1,67,64,22.2,18,40,1.45,2168,18.76,1.2,1.1,4.4,0,1
Angola,2003,48.4,340.0665,110.4,2.2,183.8,67,64,22.0,21,40,1.43,2022,18.12,1.4,1.3,4.4,0,1
Angola,2002,47.7,350.8275,114.5,2.08,191.5,67,64,21.9,22,41,1.39,2031,17.52,1.5,1.5,4.4,0,1
Angola,2001,47.1,361.129,118.2,1.94,198.4,67,64,21.8,28,38,1.36,1847,16.95,1.7,1.7,4.4,0,1
Angola,2000,46.5,371.4315,121.5,1.47,204.4,67,64,21.7,21,28,1.24,1832,16.4,1.9,1.9,4.4,0,1
Antigua and Barbuda,2015,76.5,130.0025,6.5,9.06,7.8,99,84,26.6,86,99,0.2,14285,0.09,3.3,3.3,9.2,0,1
Antigua and Barbuda,2014,76.3,131.452,6.8,9.66,8.1,99,99,26.5,96,99,0.2,13909,0.09,3.3,3.3,9.2,0,1
Antigua and Barbuda,2013,76.2,132.9015,7.1,9.43,8.5,99,87,26.4,98,99,0.2,13554,0.09,3.3,3.3,9.2,0,1
Antigua and Barbuda,2012,76.1,134.3515,7.5,8.22,9.0,98,90,26.3,97,98,0.2,13803,0.09,3.3,3.3,9.2,0,1
Antigua and Barbuda,2011,76.0,136.0795,7.9,7.24,9.5,99,89,26.2,99,99,0.1,13525,0.09,3.3,3.3,9.2,0,1
Antigua and Barbuda,2010,75.8,137.808,8.3,7.16,10.0,98,92,26.1,99,98,0.1,13987,0.09,3.3,3.3,9.2,0,1
Antigua and Barbuda,2009,75.7,139.537,8.7,7.64,10.6,98,94,26.0,98,99,0.1,15402,0.09,3.4,3.3,9.3,0,1
Antigua and Barbuda,2008,75.5,141.2655,9.2,8.41,11.1,98,83,25.9,99,99,0.1,17771,0.09,3.4,3.3,9.3,0,1
Antigua and Barbuda,2007,75.4,142.994,9.6,8.11,11.7,97,78,25.8,98,99,0.1,18062,0.08,3.4,3.3,9.2,0,1
Antigua and Barbuda,2006,75.2,144.8485,10.1,7.7,12.3,99,68,25.7,99,99,0.1,16786,0.08,3.4,3.4,9.2,0,1
Antigua and Barbuda,2005,75.0,146.703,10.6,7.44,12.9,99,46,25.6,98,99,0.1,15122,0.08,3.5,3.4,9.1,0,1
Antigua and Barbuda,2004,74.8,148.5575,11.0,6.72,13.5,97,64,25.5,97,97,0.1,14400,0.08,3.5,3.4,9.1,0,1
Antigua and Barbuda,2003,74.6,150.412,11.5,6.91,14.1,99,59,25.4,99,99,0.1,13793,0.08,3.5,3.5,9.0,0,1
Antigua and Barbuda,2002,74.4,152.267,11.9,6.67,14.6,99,56,25.3,93,98,0.1,13171,0.08,3.6,3.5,9.0,0,1
Antigua and Barbuda,2001,74.2,154.2495,12.3,6.85,15.1,96,60,25.2,99,97,0.1,13220,0.08,3.6,3.5,8.9,0,1
Antigua and Barbuda,2000,73.9,156.232,12.6,6.86,15.5,98,58,25.1,96,95,0.1,14070,0.08,3.7,3.6,7.0,0,1
Argentina,2015,76.1,117.1895,10.2,8.49,11.5,94,87,27.6,93,94,0.13,13789,43.13,1.0,0.9,9.8,0,1
Argentina,2014,75.9,118.5375,10.8,7.93,12.1,94,96,27.5,92,94,0.13,13568,42.67,1.0,0.9,9.8,0,1
Argentina,2013,75.8,119.885,11.3,8.27,12.7,94,83,27.4,90,94,0.14,14072,42.2,1.0,0.9,9.8,0,1
Argentina,2012,75.6,121.2325,11.9,8.0,13.3,91,89,27.3,90,91,0.14,13896,41.73,1.0,0.9,9.8,0,1
Argentina,2011,75.4,122.669,12.4,7.69,13.9,91,91,27.2,93,91,0.14,14200,41.26,1.0,0.9,9.8,0,1
Argentina,2010,75.3,124.1055,12.9,8.15,14.5,94,94,27.1,95,94,0.14,13551,40.79,1.0,0.9,9.8,0,1
Argentina,2009,75.1,125.542,13.3,8.34,14.9,94,96,27.0,97,94,0.14,12398,40.48,1.0,0.9,9.3,0,1
Argentina,2008,75.0,126.9785,13.7,8.42,15.3,90,88,26.9,94,93,0.15,13311,40.08,1.0,0.9,8.9,0,1
Argentina,2007,74.8,128.4145,14.0,8.16,15.7,85,84,26.8,92,91,0.15,12919,39.68,1.1,0.9,8.9,0,1
Argentina,2006,74.6,129.945,14.4,7.8,16.1,84,91,26.7,92,91,0.15,11971,39.29,1.1,0.9,9.0,0,1
Argentina,2005,74.5,131.475,14.8,7.6,16.5,88,88,26.6,95,98,0.15,11192,38.89,1.1,1.0,9.1,0,1
Argentina,2004,74.3,133.0055,15.3,7.63,17.1,81,93,26.5,91,98,0.15,10389,38.49,1.1,1.0,9.2,0,1
Argentina,2003,74.1,134.5355,15.8,7.62,17.7,73,80,26.4,95,96,0.15,9630,38.09,1.2,1.0,9.3,0,1
Argentina,2002,73.9,136.066,16.4,7.81,18.3,66,83,26.3,94,93,0.15,8943,37.68,1.2,1.0,9.2,0,1
Argentina,2001,73.8,137.696,16.9,7.76,18.9,73,56,26.2,85,83,0.16,10146,37.28,1.2,1.1,9.1,0,1
Argentina,2000,73.6,139.3255,17.5,7.68,19.6,73,56,26.1,88,83,0.16,10731,36.87,1.2,1.1,9.1,0,1
Armenia,2015,74.5,125.4875,12.6,4.04,14.1,94,97,26.3,96,94,0.09,3607,2.93,2.1,2.2,11.6,0,1
Armenia,2014,74.3,126.937,13.3,4.22,14.8,93,97,26.2,95,93,0.08,3511,2.91,2.1,2.1,11.5,0,1
Armenia,2013,74.1,128.387,14.0,3.92,15.6,95,97,26.2,96,95,0.08,3407,2.9,2.1,2.1,11.4,0,1
Armenia,2012,73.8,129.837,14.7,3.89,16.4,95,97,26.1,96,95,0.08,3313,2.88,2.0,2.1,11.3,0,1
Armenia,2011,73.6,133.0115,15.5,4.07,17.3,95,98,26.1,96,95,0.08,3099,2.88,2.0,2.1,11.2,0,1
Armenia,2010,73.3,136.1865,16.3,4.23,18.3,94,97,26.0,96,94,0.08,2959,2.88,2.0,2.1,11.1,0,1
Armenia,2009,73.1,139.3615,17.2,3.97,19.2,93,96,26.0,94,93,0.08,2884,2.89,2.0,2.1,11.1,0,1
Armenia,2008,72.9,142.5365,18.1,3.96,20.3,89,94,25.9,91,89,0.08,3335,2.91,2.0,2.1,11.0,0,1
Armenia,2007,72.8,145.711,19.0,3.91,21.4,85,93,25.9,90,88,0.08,3093,2.93,2.0,2.1,11.0,0,1
Armenia,2006,72.7,144.2585,20.0,3.99,22.5,78,85,25.9,87,87,0.08,2697,2.96,2.0,2.1,10.9,0,1
Armenia,2005,72.6,142.8055,21.1,4.17,23.7,91,92,25.8,92,90,0.08,2364,2.98,2.0,2.1,10.9,0,1
Armenia,2004,72.5,141.353,22.2,3.73,25.0,91,94,25.8,93,91,0.08,2062,3.0,2.0,2.1,10.8,0,1
Armenia,2003,72.3,139.9,23.3,3.0,26.3,93,93,25.8,96,94,0.08,1856,3.02,2.0,2.1,10.8,0,1
Armenia,2002,72.1,138.447,24.5,2.87,27.7,91,95,25.7,96,94,0.08,1619,3.03,2.1,2.1,10.8,0,1
Armenia,2001,71.8,143.7555,25.7,2.87,29.1,69,96,25.7,97,94,0.08,1422,3.05,2.1,2.1,10.7,0,1
Armenia,2000,71.4,149.064,27.0,2.91,30.6,55,94,25.7,96,93,0.08,1290,3.07,2.1,2.2,10.8,0,1
Australia,2015,82.4,61.7325,3.3,9.68,3.9,93,93,27.1,93,93,0.04,56707,23.82,0.6,0.6,12.8,1,0
Australia,2014,82.3,60.8255,3.4,9.9,4.0,91,93,27.1,92,92,0.04,56306,23.48,0.6,0.6,12.7,1,0
Australia,2013,82.1,60.215,3.5,10.0,4.1,91,92,27.0,91,91,0.05,55724,23.13,0.6,0.6,12.6,1,0
Australia,2012,82.0,60.0415,3.6,10.03,4.3,91,91,27.0,92,92,0.05,55255,22.73,0.6,0.6,12.6,1,0
Australia,2011,81.9,62.175,3.8,10.3,4.5,92,90,27.0,92,92,0.05,54108,22.34,0.6,0.6,12.5,1,0
Australia,2010,81.7,62.169,4.0,10.52,4.8,92,88,26.9,92,92,0.05,53543,22.03,0.7,0.6,12.4,1,0
Australia,2009,81.5,64.839,4.2,10.62,5.0,94,82,26.9,92,92,0.05,53226,21.69,0.7,0.6,12.3,1,0
Australia,2008,81.4,64.318,4.4,10.76,5.2,94,80,26.8,92,92,0.05,53339,21.25,0.7,0.6,12.3,1,0
Australia,2007,81.3,66.424,4.5,10.56,5.4,94,89,26.8,92,92,0.05,52539,20.83,0.7,0.6,12.0,1,0
Australia,2006,81.0,65.59,4.7,10.31,5.6,95,87,26.7,92,92,0.05,50948,20.7,0.7,0.6,11.9,1,0
Australia,2005,80.8,66.521,4.8,10.3,5.7,95,85,26.7,92,92,0.05,50333,20.39,0.7,0.6,11.7,1,0
Australia,2004,80.5,67.92,4.8,9.84,5.8,95,85,26.6,92,92,0.05,49439,20.13,0.7,0.6,11.8,1,0
Australia,2003,80.2,69.879,4.9,9.97,5.9,95,86,26.5,92,93,0.05,47997,19.9,0.7,0.7,11.8,1,0
Australia,2002,79.9,71.935,5.0,9.84,6.0,95,85,26.4,92,92,0.04,47127,19.65,0.7,0.7,11.8,1,0
Australia,2001,79.6,73.7145,5.0,9.53,6.1,94,85,26.3,91,92,0.04,45865,19.41,0.7,0.7,11.9,1,0
Australia,2000,79.2,77.0385,5.1,10.17,6.2,95,85,26.2,90,90,0.04,45559,19.15,0.7,0.7,11.9,1,0
Austria,2015,81.2,64.6875,3.0,11.6,3.7,93,88,25.5,93,93,0.08,44196,8.64,1.9,2.1,12.1,1,0
Austria,2014,81.5,65.815,3.1,12.4,3.8,98,87,25.5,98,98,0.08,44245,8.55,1.8,2.0,12.1,1,0
Austria,2013,81.1,67.3475,3.2,12.1,3.9,95,82,25.5,95,95,0.08,44299,8.48,1.8,2.0,11.9,1,0
Austria,2012,80.9,69.0215,3.3,12.1,4.0,92,78,25.5,92,92,0.08,44550,8.43,1.8,2.0,11.8,1,0
Austria,2011,81.0,71.8545,3.5,11.9,4.2,89,73,25.4,89,89,0.08,44451,8.39,1.7,2.0,11.8,1,0
Austria,2010,80.6,74.502,3.6,12.1,4.3,86,69,25.4,86,86,0.08,43335,8.36,1.7,1.9,11.8,1,0
Austria,2009,80.3,76.57,3.7,11.87,4.5,83,64,25.4,83,83,0.08,42655,8.34,1.7,1.9,11.7,1,0
Austria,2008,80.4,74.9395,3.8,12.03,4.5,83,62,25.3,83,83,0.08,44440,8.32,1.7,1.9,11.5,1,0
Austria,2007,80.2,78.0555,3.8,12.54,4.6,85,56,25.3,85,85,0.08,43938,8.3,1.7,1.9,11.6,1,0
Austria,2006,79.9,78.393,3.9,12.58,4.7,83,61,25.3,83,83,0.08,42496,8.27,1.7,1.9,10.1,1,0
Austria,2005,79.3,83.48,4.1,12.14,4.9,86,54,25.2,86,86,0.08,41281,8.23,1.7,1.9,9.9,1,0
Austria,2004,79.2,84.8235,4.2,12.17,5.1,83,47,25.2,83,83,0.08,40651,8.17,1.7,1.9,9.8,1,0
Austria,2003,78.6,87.6535,4.3,12.31,5.2,83,46,25.1,84,84,0.08,39815,8.12,1.7,1.9,9.6,1,0
Austria,2002,78.7,89.4275,4.4,12.09,5.3,81,39,25.1,82,83,0.08,39636,8.08,1.7,1.9,9.4,1,0
Austria,2001,78.6,91.5155,4.5,12.35,5.4,44,34,25.0,83,84,0.08,39185,8.04,1.7,1.9,9.2,1,0
Austria,2000,78.1,94.882,4.6,13.35,5.5,33,35,25.0,71,81,0.08,38843,8.01,1.7,1.9,9.0,1,0
Azerbaijan,2015,72.3,124.897,23.3,0.51,26.3,96,98,26.9,98,96,0.05,5500,9.65,2.8,2.9,10.7,0,1
Azerbaijan,2014,72.0,127.294,24.9,0.36,28.2,94,98,26.8,97,94,0.05,5506,9.54,2.8,2.9,10.7,0,1
Azerbaijan,2013,71.8,129.6915,26.7,0.52,30.3,93,98,26.7,96,93,0.06,5426,9.42,2.8,2.8,10.8,0,1
Azerbaijan,2012,71.5,132.0885,28.5,0.52,32.5,88,95,26.6,92,89,0.07,5195,9.3,2.8,2.8,10.7,0,1
Azerbaijan,2011,71.2,134.006,30.5,0.6,34.9,84,92,26.5,91,87,0.08,5153,9.17,2.8,2.9,10.7,0,1
Azerbaijan,2010,70.9,135.9235,32.5,0.99,37.3,80,89,26.4,85,81,0.09,5215,9.05,2.8,2.9,10.7,0,1
Azerbaijan,2009,70.6,137.841,34.7,1.92,39.9,74,83,26.3,84,81,0.1,5024,8.95,2.8,2.9,10.7,0,1
Azerbaijan,2008,70.2,139.7585,36.8,1.12,42.7,68,79,26.2,85,81,0.12,4693,8.76,2.8,2.9,10.2,0,1
Azerbaijan,2007,69.8,141.6765,39.1,0.95,45.5,62,75,26.1,81,79,0.15,4327,8.58,2.8,2.9,10.2,0,1
Azerbaijan,2006,69.3,146.13,41.5,0.85,48.6,52,68,26.0,80,78,0.17,3501,8.48,2.9,2.9,10.7,0,1
Azerbaijan,2005,68.7,150.584,44.1,0.73,51.9,49,67,26.0,79,75,0.19,2632,8.39,2.9,3.0,10.7,0,1
Azerbaijan,2004,68.2,155.0385,47.0,0.63,55.6,50,67,25.9,78,77,0.2,2078,8.31,3.0,3.0,10.6,0,1
Azerbaijan,2003,67.8,159.492,50.1,0.55,59.7,51,66,25.8,79,77,0.2,1919,8.23,3.0,3.0,10.6,0,1
Azerbaijan,2002,67.4,163.946,53.5,0.55,64.3,50,67,25.7,80,76,0.18,1754,8.17,3.1,3.1,10.6,0,1
Azerbaijan,2001,67.1,166.736,57.2,0.5,69.3,50,65,25.6,77,77,0.16,1615,8.11,3.1,3.1,10.6,0,1
Azerbaijan,2000,66.8,169.5265,60.9,0.66,74.4,50,66,25.6,75,76,0.12,1481,8.05,3.2,3.1,10.6,0,1
"Bahamas, The",2015,73.1,158.589,12.0,9.27,14.0,95,83,27.9,95,95,0.34,31699,0.37,2.5,2.5,11.1,0,1
"Bahamas, The",2014,72.8,160.15,12.2,9.22,14.3,96,83,27.8,96,96,0.34,31689,0.37,2.5,2.5,11.1,0,1
"Bahamas, The",2013,72.6,161.711,12.5,9.23,14.6,97,83,27.8,97,97,0.36,31408,0.37,2.5,2.5,11.1,0,1
"Bahamas, The",2012,72.4,163.272,12.8,9.37,14.9,96,83,27.7,99,98,0.39,32652,0.36,2.5,2.5,11.1,0,1
"Bahamas, The",2011,72.3,165.538,13.0,9.23,15.2,95,83,27.6,97,98,0.46,32027,0.36,2.5,2.5,11.0,0,1
"Bahamas, The",2010,72.1,167.804,13.3,9.21,15.6,98,83,27.5,97,99,0.49,32248,0.35,2.5,2.5,10.9,0,1
"Bahamas, The",2009,72.1,170.07,13.6,8.75,15.9,95,83,27.4,97,96,0.49,32244,0.35,2.5,2.5,10.9,0,1
"Bahamas, The",2008,72.0,172.336,13.9,9.65,16.2,90,83,27.4,93,93,0.53,34229,0.34,2.5,2.5,10.9,0,1
"Bahamas, The",2007,72.0,174.6025,14.1,9.92,16.5,93,83,27.3,95,95,0.57,35697,0.34,2.5,2.5,10.9,0,1
"Bahamas, The",2006,72.0,176.668,14.3,9.82,16.7,96,83,27.2,94,95,0.59,35863,0.33,2.5,2.5,10.9,0,1
"Bahamas, The",2005,72.0,178.7335,14.4,9.83,16.8,93,83,27.1,93,93,0.66,35649,0.32,2.6,2.5,10.9,0,1
"Bahamas, The",2004,72.0,180.7985,14.4,9.61,16.8,93,83,27.1,92,93,0.7,35122,0.32,2.6,2.5,10.9,0,1
"Bahamas, The",2003,72.0,182.864,14.3,10.59,16.7,88,83,27.0,93,92,0.75,35456,0.31,2.6,2.5,10.9,0,1
"Bahamas, The",2002,72.0,184.93,14.1,10.94,16.5,89,83,26.9,93,94,0.82,36548,0.31,2.6,2.6,10.9,0,1
"Bahamas, The",2001,72.0,187.537,14.0,11.38,16.4,90,83,26.8,98,99,0.9,36178,0.3,2.7,2.6,10.9,0,1
"Bahamas, The",2000,71.9,190.144,13.9,11.93,16.3,90,83,26.7,91,99,1.0,35794,0.3,2.7,2.6,10.9,0,1
Bahrain,2015,76.8,66.684,6.5,1.53,7.6,98,99,24.8,98,98,0.05,22634,1.37,6.2,6.1,9.3,0,1
Bahrain,2014,76.6,67.602,6.6,1.57,7.7,98,99,24.9,98,98,0.05,22677,1.34,6.1,6.0,9.1,0,1
Bahrain,2013,76.5,68.52,6.7,1.65,7.8,99,99,24.9,99,99,0.05,22079,1.32,6.1,6.0,9.0,0,1
Bahrain,2012,76.3,69.438,6.8,1.72,8.0,99,99,24.9,99,99,0.05,21188,1.3,6.1,6.0,8.8,0,1
Bahrain,2011,76.2,70.3255,7.0,1.66,8.2,99,98,25.0,99,99,0.05,20774,1.28,6.1,6.0,8.6,0,1
Bahrain,2010,76.1,71.212,7.3,1.96,8.5,99,98,25.0,99,99,0.05,20982,1.24,6.0,5.9,8.4,0,1
Bahrain,2009,75.9,72.0995,7.6,1.95,8.9,98,99,25.0,97,98,0.05,21057,1.19,6.0,5.9,8.4,0,1
Bahrain,2008,75.8,72.9865,8.0,1.99,9.3,97,97,25.1,97,97,0.05,21833,1.11,6.0,5.9,8.4,0,1
Bahrain,2007,75.6,73.874,8.4,1.83,9.8,97,99,25.1,97,97,0.05,22112,1.04,6.1,5.9,8.4,0,1
Bahrain,2006,75.5,75.8375,8.8,1.94,10.2,98,99,25.2,98,98,0.05,22069,0.96,6.1,5.9,8.4,0,1
Bahrain,2005,75.3,77.801,9.1,1.92,10.6,98,99,25.3,98,98,0.05,22344,0.89,6.1,5.9,8.4,0,1
Bahrain,2004,75.2,79.765,9.4,1.98,11.0,98,99,25.3,98,98,0.05,22423,0.83,6.1,5.9,8.4,0,1
Bahrain,2003,75.0,81.7285,9.7,2.04,11.3,98,99,25.4,97,97,0.05,22336,0.78,6.1,5.9,8.4,0,1
Bahrain,2002,74.8,83.6925,10.0,1.87,11.6,98,97,25.4,98,98,0.05,22258,0.74,6.2,5.9,8.4,0,1
Bahrain,2001,74.6,86.116,10.3,1.89,12.0,99,99,25.5,99,99,0.05,22698,0.7,6.2,6.0,8.4,0,1
Bahrain,2000,74.4,88.5395,10.7,1.97,12.5,97,92,25.5,97,97,0.05,23244,0.66,6.2,6.0,8.3,0,1
Bangladesh,2015,71.5,129.753,31.0,0.01,38.1,97,90,21.6,98,97,0.01,1248,156.26,17.9,18.3,5.2,0,1
Bangladesh,2014,71.2,132.246,32.5,0.01,40.1,97,89,21.5,97,97,0.01,1185,154.52,18.1,18.6,5.2,0,1
Bangladesh,2013,70.9,134.7385,34.0,0.0,42.2,96,82,21.4,96,96,0.01,1130,152.76,18.3,18.8,5.1,0,1
Bangladesh,2012,70.6,137.2305,35.6,0.0,44.4,94,41,21.3,94,94,0.01,1078,151.01,18.5,19.0,5.1,0,1
Bangladesh,2011,70.3,139.3125,37.2,0.0,46.7,96,71,21.2,96,96,0.01,1024,149.27,18.7,19.2,5.1,0,1
Bangladesh,2010,69.9,141.3945,38.9,0.0,49.1,94,65,21.1,94,94,0.01,973,147.58,18.9,19.4,4.9,0,1
Bangladesh,2009,69.5,143.4765,40.7,0.003,51.8,97,59,21.0,97,97,0.01,932,145.92,19.1,19.7,4.8,0,1
